,Unnamed: 0,index,id,timestamp,scene,game_setup,game_gameplay,game_scoring,game_difficulty,game_firstTimeScore,gameScore_score,gameScore_thoughts,debrief_strategy,debrief_difficulties,debrief_questions,debrief_external_aids,game_edited,edited_game_fields
102,102,185,Q6a8AbiIdcLA9tJzAu14,2022-01-23 16:14:08.311000+00:00,many_objects,"place the bin ontop of the bed,place all the ramps on side of bed facing the desk,place the blue triangle 1 meter from the desk and red triangle 2 meters from deskplce the dodgeballs at the desk since they will be used during game.","the goal is to throw the golfballs into the bin from either behind the blue or red triangle, when throwing behind the blue triangle the distance is further away from bin,thus increasing the difficulty, when throwing from behind the red triangle it is a shorter distance thus decreasing the difficulty from throwing balls into bin,if balls fall on ramps the will roll back and you can throw again","if you throw a dodgeball in from behind the blue triangle you score 15 points and if you throw a dodgeball in from behind the red triangle you score 25 points,if you throw a golfball in from behind the blue triangle you score 5 points and if you throw a golfball in from behind the red triangle you score 10 points,if  the balls roll or bounce back, you have another chance to throw them in,when the ball does not roll or bounce back and you have to fetch it from in front of the triangle the points will reset,thus points will reset once you have to go out of triangles to fetch the balls once you don't have any left in your reach.",3,5 points,5,"the golfballs will be a better option to use since they are smaller and will fit in bin easier,thus throwing a golfball in from behind the blue triangle will score you 10 points and 5points from behind the red triangle and if a dodgeball is thrown it will score you 15 points from behind red triangle and 30 points from behind the blue triangle.",i went about a strategy that will make people want to continue to play since it is hard people will continue until they get the satisfaction of successfully completing the game or in my instance throwing the balls into the bins.,no,this was a really fun experiment and way of channeling my inner creativity ,no i used my imagination and the objects within the game to create the game,True,"gameplay,scoring"
103,103,187,NurIP8Ey70FomFLL0VSr,2022-01-23 17:02:50.820000+00:00,few_objects,"trash placed on middle of a carpet, two balls and bed that we can place trash on","Throwing balls in the trash that is laying on the bed, ten rounds",hitting in the middle for two points and hitting hoop for one point,2,9-10,10 points,"I made mistake on the description, not placing it on the carpet but only on bed, and you have to be standing on the other side of the room close to desk","Honestly I did first idea that came to my mind and due to technical difficulties it wasn't easy. I tried to take account of scoring system of a game, that it should be fun and somewhat difficult to gain good result","Yes, my cursor was blocking every 15-20 seconds couldnt rotate my view around room, I pressed random keys to regain my mobility",If you could repair technical difficulties it would be better - game creating process is too difficult and there is too few tools to do it,screen shot,False,
104,104,188,bPMm01GV1jVMlw7DIH89,2022-01-23 19:37:39.607000+00:00,few_objects,You have to move the bin so it lines up with the inner side of the second balcony. You use that line to put the bin in the middle of said line. Freeze it there.,You have to pick u a dodgeball and try to throw it in the bin standing on the outer edge of the rug.,The dodgeball has to get inside the bin but not necessarily stay there. Each hit counts as one point. You have a set amount of time to complete the challenge. 5 minutes. But it can be increased of course.,4,3,2,Well getting the right angle and power is quite tricky. It often bounces from the rim and the mouse sensitivity does not help. Definitely harder than anticipated.,I just searched for a few items that are common in basic games and directly though of what I wanted to do. Those items popped in my head directly. ,The engine seemed to only go towards my CPU and not RAM or my graphics card so it was not the smoothes experience FPS wise. Also the mouse sensitivity was insanely high. But it worked.,-,No,True,"scoring,difficulty,firstTimeScore"
105,105,189,B02vfA7ZpP1xhDyqeYVd,2022-01-23 19:37:57.069000+00:00,few_objects,"Move both chairs out of the way, they could go on or near the bed. Pick up and move all 6 cubeBlocks and move them to the colourful matt near the bed. Make sure the desktop has nothing underneath the desk. Throw the dodgeballs as hard as possible to create randomly placed obstacles wherever they land.","The game is called Save the wood. The rules of the game are to use the blue cubeBlock and the white cubeBlock to create a path from the bed (or as close as the game with allow you to get to the bed to create a path of blocks from the bed to underneath the desktop computer. YOU CANNOT THROW THE WOODEN cubeBlocks (they are to be saved). You can only use the blue and white. You throw them, one after another and they must land extremely near each other so they are touching to create your path to the desktop computer where they (the pure wooden blocks) are saved. Hence the name 'Save the Wood'","The scoring system works as such: When you create one path you leave 1 wooden block (one of the two pure wooden blocks) under the desk. You then restart and (again only using the white or blue blocks) you create a path - throwing blue and white block after blue and white block - to create a path from the bed to underneath the desktop. You have completed the game when you have both wooden blocks under the desk.

You could even incorporate the 2 dodgeballs into the game and throw them at the beginning of the game, to create obstacles which you must play/play around when creating your path from the bed to underneath the desk.
",1,I would score 2 wooden cubeBlocks but it would take me between 15 - 20 minutes to achieve this score.,2 but I took a shorter amount of time than I thought.,"Yes, I changed my gameplay a little. You must throw different coloured block one after another, SO it must be blue then white and then blue and then white (Or vice versa, it doesnt matter which colour cubeBlock you start with as long as it is different from the next coloured block). You must also incorporate the bin as an obstacle, when you are trying to 'Save the Wood'.","I considered them self enjoyment you may feel from the game, I believe all users would create different paths as the dodgeballs and the chairs and the bins being randomly thrown each time would force you to create a different path. I think users would enjoy it and it would force the to learn the controls of the game well and angles and how the game incorporate the physics of the items bouncing off each other when the user throws the cubeBlocks.",I found it difficult Or more correctly challenging to follow the demo. I didn't realise I needed to follow all the instructions.,"I enjoyed it but found it challenging. I hope I have done well. Good luck in all that you do, many thanks.",I took a screenshot of the rules and it helped but I did read the screen shot about 5 times to help me learn the rules,False,
106,106,190,tVL75ycOZHTAKgeqLs6H,2022-01-23 20:07:38.661000+00:00,few_objects,"You need to place the bin in a place where it can be used as a basket, and it must be frozen in place",You have to throw the balls inside the bin,"The cubeblocks are used as points. You start with 0 points and your goal is to reach 6. If the ball goes in the bin, you gain 1 point. You have 15 attempts per game",4,5,1,It's way harder than I thought it would be,I wanted to keep it simple but also entertaining,It was a bit laggy sometimes,"I don't know if I did my game correctly, sorry if it's not good",I had to take a screenshot of the experiment instructions,True,"scoring,difficulty"
107,107,194,nFX80fkvz9jp4TEfDQUl,2022-01-23 22:07:40.086000+00:00,few_objects,"To prepare the room for the game you need a mouse, keyboard and positive energy","You can play here: Kicking balls into the basket (by the bed), trying to find the watch (you have to get on the bed and you also have to find a way to do it). You can also try to play a game of placing cubes on the shelf - you have to use a wooden ramp","For each completed task, the player is entitled to 1 point",1,I'll try to kick kick to the trash bin,,,,,,,False,
108,108,195,jYnmaydkg4c0KmGFfgp3,2022-01-23 22:19:01.315000+00:00,medium_objects,"Clear the bed and the nightstand of any items, then place the two LongCylinderBlocks onto it, at its extremities, and one CylinderBlock onto the nightstand. Put the two PyramidBlocks onto the LongCylinderBlocks. Place the Bin onto the bed, in between the two LongCylinderBlocks. Put the Beachball, the BasketBall and the Dodgeball onto the DogBed (or next to it).","Over the course of 3 rounds, you will throw the three balls you have in the room to items placed on the bed. The goal is to knock off the PyramidBlocks without toppling the LongCylinderBlocks, and to put one or more balls in the Bin. You can also knock off the CylinderBlock from the nightstand. The Beachball is too big for the Bin, so you have to throw it in a way that makes it rest onto the top of the bin. You will throw the balls from a position next to the DogBed. If a ball ricochets back in a way that would enable you to pick it up, you can throw it again. A round ends when you have no more balls to throw. After each round, you will have to reset the position of the items on the bed, and to put the balls back onto the DogBed.",Each PyramidBlock knocked off is +3 points for the player. Each LongCylinderBlock toppled while trying to knock PyramidBlocks off is -3 points. Knocking the CylinderBlock from the nightstand off is +1 point. Putting the Dodgeball or the Basketball into the bin is +2 point. Throwing the Beachball into the Bin is +4 points. Balls that miss net 0 points; that includes having the Beachball slide off the top of the Bin.,3,3,4 points,"Maybe more items that are easier to knock down should be added. It's tough, because it's difficult to ""get a feel"" for the throws you are doing due to the simulated physics.","I explored the room for useful items and tried to come up with a game that wasn't too simple or too complex for the player, both in terms of preparing the room for it and of actually playing it. I tried to adjust the points that one can get while playing so that the player does not necessarily have only one way to play the game.","Kind off: CTRL+W closes the tab on Chrome, so I accidentally closed the experiment down two times while trying to crouch down while moving, or move while crouching down.","Coming up with a game on the spot was more difficult than I expected. Apart from the CTRL+W issue, everything worked perfectly.",I wrote down on my phone a basic description of the game while messing around the room. It served as a basis for the description I then provided.,True,"setup,gameplay,scoring,firstTimeScore"
109,109,197,HMosyugAD4iHS8V6ajD6,2022-01-23 22:29:36.057000+00:00,many_objects,"You will need: balls, wooden triangles, a garbage can, pillows, a white circle, wooden cubes","You can play throwing the ball into the trash can, throwing pillows to the designated object (white circle), throwing cubic dice on the top shelf",One point is awarded for every single task completed,0,throwing cubic blocks onto the top shelf,6 out of 8 points,,First I looked at what objects I have to use and then I started to invent games,no,no,no,True,firstTimeScore
110,110,199,wi9ubMsI5cDptid12cm2,2022-01-23 23:10:18.203000+00:00,few_objects,"First you need to cut the room in half. For this purpose pick up the two Chairs and place them in front of the door, one close to the door and one close to the wall on the other side of the room. Than place the Bin to the corner under the two balls facing it's lowest side to the corner. Finally collect 10 items and bring themm in front of the computer desk - the items: 2 Dodgeballs, 6 Cubeblocks, 1 Alarmclock, 1 Book.","This game is a basic basketball game. Your goal is to toss the 10 items into the Bin. You can toss only from behind the imaginary line created by the Chairs. Before beginning the game you may try throwing the items as many times as you please. After starting you may follow the instructions below:
Dodgeballs: you have 3 tosses each, 6 in total.
CubeBlocks: you have only 1 toss each, 6 in total.
AlarmClock: you have 1 toss.
Book: you have 1 toss.
If you toss the Dodgeballs or have more than 1 item in your Bin, you can cross the halfline and clear it preventing the overfill.","Each succesfull Dodgeball toss worth 8 points - 48 points total.
Each CubeBlock worth 5 points - 30 points total.
The AlarmClock worth 20 points.
The Book worth 50 points.
Total points: 148 points.",1,60,102,Aiming with DodgeBalls is much harder than I thought.,I observed the items in the room and tried to imagine what could I do in the same room in the real world. In school we often played basketball-like game using the rubbish bin. That's what gave the idea.,No,No,No,True,"gameplay,scoring,firstTimeScore"
111,111,200,ZBcXIZbvTS3U4IBGk1zk,2022-01-24 00:49:09.530000+00:00,medium_objects,"Balls
Bin
Small Ramp
One player","You need to throw the three balls into the bin. At the first round there are no obstacles, you just need to score the basket from the opposite corner. The next round, there will be one small ramp between you and the bin; you need to roll the ball, which will pick up momentum with the ramp; you need to score a basket to win the round. For the last level, there will be more obstacles: You will need to throw the ball and it will hit at least three block figures before fall into the bin. ","At the first level:
Red little ball: 1 point
Medium ball: 2 points
Big ball: 3 points.
You need at least 3 points to pass to the second level.
Second level:
Red small ball: 2 points
Medium ball: 3 points
Big ball: 5 points
You need at least 5 points to succes
Final level:
Red small ball: 3 points
Medium ball: 5 points
Big ball: 8 points
You need at least 8 points to win the game.
In every opportunity you can try 5 times and you can choose which ball you will throw or even change the ball, but once you basket it, you can't take it back",4,0,3,I think that it's harder than I thought,"I try to do my best and I try to use my imagination, but at the end I think that I made it too hard.
I considerer the rules of the experiment","Yes, because the movements are reduced",It was funny :),"No, I was just moving around and improvising",True,firstTimeScore
112,112,201,KO8pbUWEpZldxy7AzyM5,2022-01-24 00:50:16.494000+00:00,medium_objects,,Find as many circular shapes as possible in the room.,For each second you take to find the next circular shape you get -1 point from the total amount of points (same as the amount of circular shapes).,1,13,14,It's hard to keep track of time and I should have set up the amount of circular shapes in advance.,I looked for common shapes in the room and thought about an easy game that wouldn't require too much thinking.,No.,No.,Desktop timer to keep track of the seconds.,False,
113,113,202,c4bea3VqKksZ7Rd5RdTO,2022-01-24 00:51:42.609000+00:00,few_objects,A ramp facing stacks of blocks creating columns leading to a bucket.,"You roll a ball towards the ramp. The ball has to jump onto each column, bouncing to a next one and finally fall into the bucket.",You get a point if the ball gets into the bucket.,3,1 out of 10,0,"It would work well in real life, but ball physics are weird here.","I saw a ramp and stacks of blocks and I instantly knew what to go for, because it sounded fun.",I have a very strong PC and the simulation was still very laggy. Also ball physics were weird and it was difficult to predict where it would go.,"I think that the simulation should have simpler graphics so it's not as laggy, as it is now.","I took a screenshot of the rules before my second attempt to the attention check, because I missed one point in my first try.",False,
114,114,203,3JgBMLuR3hhyXX7duXxU,2022-01-24 03:52:50.931000+00:00,medium_objects,Move the dog bed into the center of the room,"The game is to stack as many items as possible on the dog bed.  For an item to count, it cannot touch the ground or a wall, only the dog bed.",You get one point for every item that is on the dog bed.,1,6,7,,"I tried to think of something that could be easily scored.  At first I though about building a tower, and seeing how high it could be, but that seemed too hard.",no :),Thank you for the opportunity to participate! This was fun :),No,True,setup
115,115,204,ZMqZkrMMB0PcsCeLhQqE,2022-01-24 04:04:13.655000+00:00,medium_objects,Move the ramp to the room center. Place the chair in front of the ramp. Place the teddy bear on the chair. place the basket beyond the ramp and balls in front of the basket.,You jump the chair with the teddy bear and try to get the bear to land in the basket or hit balls placed near.,1 point for each ball hit or 5 for getting the teddy in the basket.,2,2 points,0,"It's not that great honestly.
",I just tried to use some of the available objects and make something that was somewhat fun.,"Yeah, the controls didn't work as I'd liked them to have.I couldn't throw/push the chair with the teddy bear on it.",I do not. Thanks.,I had to figure out how to substitute the scroll wheel. i screen shot the tutorial and asked a friend who doesn't do studies at all.,False,
116,116,205,moftPPoSfP3mG38GT9Vw,2022-01-24 15:08:58.745000+00:00,medium_objects,"Just move the basketball and dodgeball to middle of room, and put the bin on bed or desk",use the 2 balls and try to get them in bin,4 attempts on each ball (dodgeball & basketball) and see  how many you can shoot in the bin,3,0,0,i think i should have moved the bin to a more central point,tried to make it simple ,no,"fun, thankyou",no,True,"setup,scoring,difficulty,firstTimeScore"
117,117,206,IjyNuz4ApTldgPuoKPtB,2022-01-24 15:10:43.366000+00:00,medium_objects,"To preprare the room for my game, you must put the wodden latter some steps back from the green garbage can, then crouch down and took the small red ball and start throwing it while you are crouch down,",To play my game you must decide how much intensity of force you must use in order to throw in the ball into de garbage can.,"To score my game, 10 points will be if you scored the ball into the garbage can in the first attempt and wihtouht tocuhing the ground. You will get 7 points, if you throw in the ball into the garbage can between de second the fourth attempt and without touching the floor. Finally you will get 5 points if you just throw in the ball in the garbage can. You only have 10 attemps to score.",1,5 ,7,"You can put the garbage can as far as you want, maybe there could change the diffiulty, but it is the same concept: throw in the ball.","I took a quick look at the room, and saw a ball and a garbage can, then I tought what ever kid must think after seeing the same stuff: throw the ball in. But suddenly I realised that It would be harder and cooler if we use the wooden ladders to give more force to the ball.","Just at the beggining, it was confuse to remember the keys in the game","No, thanks","No,  I havent.",True,"setup,scoring"
118,118,207,Q1jHN8NAIlds8F5SFBCJ,2022-01-24 16:07:12.112000+00:00,medium_objects,there is no need for a specific initial state,"A game that could be played in this room is the ""eco matchy matchy"" game. During that game you have to put the various blocks on top/next to similar colored surfaces. For example, the green blocks could be put on the green part of the carpet or in the green basket. The light blue block could be put on the bed etc. Extra bonus are given to them that care to reduce the electricity consumption (switch off the lights). ","For ever block that is put on/next/in a matching object 5 points are given. When locating an object is harder (e.g. put a green block on the green basket, put a brown block on a brown drawer) 10 point are given. For the eco friendly participants , 15 points are given for each light that is turned off. Be careful, if you break anything (e.g. a computer, a window) you get a negative score: -10 for every broken object.",2,60,90,,I tried to find a pattern that a player could with out necessarily having (all the) instructions. I noticed the colored blocks and then that the same colors appeared in certain surfaces or objects. That's hoe the matchy matchy was created. To spicy it up a bit I added the eco friendly bonus and the negative score for any damage. ,"occasionally, even the (+) appeared, I couldn't select some of the objects",no,no,True,"gameplay,scoring"
